Player,Rk,G,Date,Age,Tm,Column1,OPP,2,GS,MP,FG,FGAVG,FGA,FGAAVG,FG%,FG%AVG,3P,3PAVG,3PA,3PAAVG,3P%,3P%AVG,FT,FTAVG,FTA,FTAAVG,FT%,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Bucket
Young,48.00,43.00,45324.00,25-136,ATL,,PHO,W (+9),1,42:11,12.00,9.00,17.00,22.00,0.71,0.41,7.00,3.50,11.00,6.50,0.64,0.46,1.00,6.50,2.00,7.00,0.50,0.96,0,1,1,15,3,1,7,2,32,31.2,-1,7.00
Young,49.00,44.00,45325.00,25-137,ATL,,GSW,W (+7),1,42:16,12.00,10.50,21.00,18.50,0.57,0.58,7.00,6.50,11.00,10.00,0.64,0.65,4.00,1.50,5.00,2.00,0.80,0.75,0,0,0,6,1,0,3,3,35,25.7,+5,7.00
Young,50.00,45.00,45327.00,25-139,ATL,,LAC,L (-5),1,35:43,8.00,12.00,14.00,19.00,0.57,0.64,3.00,7.00,7.00,11.00,0.43,0.64,6.00,2.50,6.00,3.50,1.00,0.65,0,2,2,12,2,0,5,5,25,22.4,-6,5.00
Young,51.00,46.00,45329.00,25-141,ATL,@,BOS,L (-8),1,37:52,8.00,10.00,25.00,17.50,0.32,0.57,2.00,5.00,10.00,9.00,0.20,0.53,2.00,5.00,2.00,5.50,1.00,0.90,0,2,2,10,1,0,4,0,20,10.3,-10,4.00
Young,52.00,47.00,45331.00,25-143,ATL,@,PHI,W (+6),1,39:47,10.00,8.00,21.00,19.50,0.48,0.45,5.00,2.50,12.00,8.50,0.42,0.31,12.00,4.00,16.00,4.00,0.75,1.00,0,1,1,12,1,0,7,1,37,27.0,+5,8.00
Young,53.00,48.00,45332.00,25-144,ATL,,HOU,W (+9),1,32:54,6.00,9.00,16.00,23.00,0.38,0.40,2.00,3.50,9.00,11.00,0.22,0.31,4.00,7.00,6.00,9.00,0.67,0.88,0,4,4,8,2,1,4,3,18,12.7,-1,4.00
Young,54.00,49.00,45334.00,25-146,ATL,,CHI,L (-10),1,35:42,3.00,8.00,14.00,18.50,0.21,0.43,2.00,3.50,10.00,10.50,0.20,0.32,11.00,8.00,12.00,11.00,0.92,0.71,0,3,3,14,0,0,2,1,19,18.3,-14,4.00
Young,55.00,50.00,45336.00,25-148,ATL,@,CHO,L (-23),1,34:26,4.00,4.50,12.00,15.00,0.33,0.29,2.00,2.00,8.00,9.50,0.25,0.21,2.00,7.50,2.00,9.00,1.00,0.79,1,1,2,12,0,0,4,4,12,9.0,-15,3.00
Young,56.00,51.00,45345.00,25-157,ATL,,TOR,L (-2),1,35:20,4.00,3.50,13.00,13.00,0.31,0.27,2.00,2.00,6.00,9.00,0.33,0.23,1.00,6.50,2.00,7.00,0.50,0.96,0,3,3,7,0,0,4,3,11,3.7,-6,3.00
Jokic,1,1,10/24/2023,28-247,DEN,,LAL,W (+12),1,36:16,12,,22,,0.545,,3,,5,,0.6,,2,,4,,0.5,,3,10,13,11,1,1,2,2,29,29.3,+15,6.00
Jokic,2,2,10/27/2023,28-250,DEN,@,MEM,W (+4),1,34:58,8,,14,,0.571,,1,,4,,0.25,,5,,6,,0.833,,3,9,12,7,1,1,9,1,22,17.0,+6,5.00
Jokic,3,3,10/29/2023,28-252,DEN,@,OKC,W (+33),1,29:52,12,10,16,18,0.75,0.558,1,2,2,4.5,0.5,0.425,3,3.5,3,5,1,0.6665,2,12,14,5,0,0,4,3,28,24.9,+21,6.00
Jokic,4,4,10/30/2023,28-253,DEN,,UTA,W (+8),1,35:14,12,10,16,15,0.75,0.6605,1,1,3,3,0.333,0.375,2,4,5,4.5,0.4,0.9165,1,9,10,11,0,2,1,3,27,29.7,+13,6.00
Jokic,5,5,11/1/2023,28-255,DEN,@,MIN,L (-21),1,29:58,11,12,23,16,0.478,0.75,1,1,6,2.5,0.167,0.4165,2,2.5,2,4,1,0.7,2,8,10,3,0,0,5,0,25,14.2,-19,5.00
Jokic,6,6,11/3/2023,28-257,DEN,,DAL,W (+11),1,35:35,14,11.5,16,19.5,0.875,0.614,2,1,2,4.5,1,0.25,3,2,5,3.5,0.6,0.7,7,7,14,9,1,1,4,3,33,36.4,+17,7.00
Jokic,7,7,11/4/2023,28-258,DEN,,CHI,W (+22),1,33:21,9,12.5,16,19.5,0.563,0.6765,1,1.5,3,4,0.333,0.5835,9,2.5,9,3.5,1,0.8,4,12,16,9,3,0,1,3,28,33.9,+33,6.00
Jokic,8,8,11/6/2023,28-260,DEN,,NOP,W (+18),1,36:22,15,11.5,24,16,0.625,0.719,2,1.5,6,2.5,0.333,0.6665,3,6,5,7,0.6,0.8,3,11,14,12,1,1,2,1,35,36.5,+16,7.00
Jokic,9,9,11/8/2023,28-262,DEN,,GSW,W (+3),1,36:36,14,12,25,20,0.56,0.594,1,1.5,8,4.5,0.125,0.333,6,6,10,7,0.6,0.8,3,10,13,5,3,1,3,3,35,29.6,+3,7.00
Jokic,10,10,11/12/2023,28-266,DEN,@,HOU,L (-3),1,38:14,13,14.5,26,24.5,0.5,0.5925,2,1.5,6,7,0.333,0.229,8,4.5,8,7.5,1,0.6,6,15,21,11,0,1,3,3,36,35.9,+12,8.00
